"rank"	"DPName"	"dpID"	"dpIDSource"	"DPNumber"	"table"	"tableDescription"	"fieldName"	"description"	"dataType"	"units"	"measurementScale"	"ontologyMapping"	"pubFormat"	"exampleEntry"	"usage"	"fieldType"	"tableType"	"inputs"	"ingestDPIDSource"	"ingestTableSource"	"ingestFieldSource"	"inputFieldParameter"	"filterSampleClass"	"timeIndex"	"timeDescription"	"downloadPkg"	"dataCategory"	"sampleInfo"	"lovName"	"primaryKey"	"redactionFlag"
18	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_lignin_pub"	"External lab analysis of lignin concentrations in foliage"	"measurementQF"	"Quality flag for sample measurement"	"string"	NA	"nominal"	""	"LOV"	"0"	"both"	"DP"	"site-date"	"measurementQF"	"NEON.DOM.SITE.DP0.10031.001"	"ltr_lignin_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.ligninSampleID"	0	NA	"basic"	"N"	""	"ltr.ligMeasurementQF"	"N"	""
19	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_lignin_pub"	"External lab analysis of lignin concentrations in foliage"	"accuracyQF"	"Quality flag for quality assurance materials associated with the run"	"string"	NA	"nominal"	""	"LOV"	"0"	"both"	"DP"	"site-date"	"accuracyQF"	"NEON.DOM.SITE.DP0.10031.001"	"ltr_lignin_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.ligninSampleID"	0	NA	"basic"	"N"	""	"ltr.ligAccuracyQF"	"N"	""
20	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_lignin_pub"	"External lab analysis of lignin concentrations in foliage"	"remarks"	"Technician notes; free text comments accompanying the record"	"string"	NA	"textDomain"	""	"asIs"	"had to re-analyze"	"both"	"DP"	"site-date"	"remarks"	"NEON.DOM.SITE.DP0.10031.001"	"ltr_lignin_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.ligninSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
21	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_lignin_pub"	"External lab analysis of lignin concentrations in foliage"	"laboratoryName"	"Name of the laboratory or facility that is processing the sample"	"string"	NA	"nominal"	""	"asIs"	"University of Florida Wetland Biogeochemistry Lab"	"both"	"locationNameDP"	"site-date"	"laboratoryName"	"NEON.DOM.SITE.DP0.10031.001"	"ltr_lignin_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.ligninSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
22	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_lignin_pub"	"External lab analysis of lignin concentrations in foliage"	"testMethod"	"Method used to conduct test"	"string"	NA	"textDomain"	""	"asIs"	"SOP_WBL-M-028"	"both"	"DP"	"site-date"	"testMethod"	"NEON.DOM.SITE.DP0.10031.001"	"ltr_lignin_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.ligninSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
23	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_lignin_pub"	"External lab analysis of lignin concentrations in foliage"	"analyzedBy"	"Name of lab personnel analyzing sample"	"string"	NA	"textDomain"	""	"obfuscate"	"Lab technician name"	"both"	"DP"	"site-date"	"analyzedBy"	"NEON.DOM.SITE.DP0.10031.001"	"ltr_lignin_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.ligninSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
24	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_lignin_pub"	"External lab analysis of lignin concentrations in foliage"	"reviewedBy"	"Name of lab personnel who reviewed the data prior to submission"	"string"	NA	"textDomain"	""	"obfuscate"	"Lab manager name"	"both"	"DP"	"site-date"	"reviewedBy"	"NEON.DOM.SITE.DP0.10031.001"	"ltr_lignin_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.ligninSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
25	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_lignin_pub"	"External lab analysis of lignin concentrations in foliage"	"dataQF"	"Data quality flag"	"string"	NA	"nominal"	""	"asIs"	"legacyData"	"both"	"DP"	"site-date"	"dataQF"	"NEON.DOM.SITE.DP0.10031.001"	"ltr_lignin_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.ligninSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
25	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_lignin_pub"	"External lab analysis of lignin concentrations in foliage"	"publicationDate"	"Date of data publication on the NEON data portal"	"dateTime"	NA	"dateTime"	""	"asIs"	""	"appended by stackByTable"	"DP"	"site-date"	""	"NEON.DOM.SITE.DP0.10031.001"	"ltr_lignin_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.ligninSampleID"	0	NA	"appended by stackByTable"	"N"	""	""	"N"	""
1	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	NA	"textDomain"	""	"asIs"	"B0F07806AEB2458"	"both"	"uid"	"site-date"	""	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"GENERATED"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
2	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"namedLocation"	"Name of the measurement location in the NEON database"	"string"	NA	"nominal"	""	"asIs"	"GRSM_001.basePlot.cfc"	"both"	"DP"	"site-date"	"namedLocationName"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"ACTIVITY_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
3	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"domainID"	"Unique identifier of the NEON domain"	"string"	NA	"nominal"	""	"asIs"	"D07"	"both"	"DP"	"site-date"	"DOMAIN"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
4	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"siteID"	"NEON site code"	"string"	NA	"nominal"	""	"asIs"	"GRSM"	"both"	"DP"	"site-date"	"SITE"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
5	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"plotType"	"NEON plot type in which sampling occurred: tower, distributed or gradient"	"string"	NA	"nominal"	""	"asIs"	"distributed"	"both"	"DP"	"site-date"	"Plot type"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"NAMED_LOCATION"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
6	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"sampleID"	"Identifier for sample"	"string"	NA	"textDomain"	""	"obfuscate"	"cfc.GRSM001.LITU-1.20200705"	"both"	"DP"	"site-date"	"parentSampleTag"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"SAMPLE_TABLE"	"cfc_fieldData_in.sampleID"	""	0	NA	"basic"	"N"	"Equals: cfc_fieldData_in.sampleID"	""	"Y"	""
7	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"sampleCode"	"Barcode of a sample"	"string"	NA	"textDomain"	""	"asIs"	"11FF079DB589498"	"both"	"DP"	"site-date"	"parentSampleBarcode"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"SAMPLE_TABLE"	"cfc_fieldData_in.sampleID"	""	0	NA	"basic"	"N"	""	""	"Y"	""
8	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"setDate"	"Date that trap was set"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-05T12:24"	"both"	"resultStartDate"	"site-date"	"activityStartDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"ACTIVITY_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
9	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"collectDate"	"Date of the collection event"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-05T12:24"	"both"	"resultEndDate"	"site-date"	"activityEndDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"ACTIVITY_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
10	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"lmaSampleID"	"Identifier for a leaf mass per area sample"	"string"	NA	"textDomain"	""	"obfuscate"	"cfc.GRSM001.LITU-1.20200705.lma"	"both"	"DP"	"site-date"	"primarySampleTag"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"SAMPLE_TABLE"	"cfc_LMA_in.lmaSampleID"	""	0	NA	"basic"	"N"	"Equals: cfc_LMA_in.lmaSampleID"	""	"N"	""
11	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"lmaSampleCode"	"Barcode of a leaf mass per area sample"	"string"	NA	"textDomain"	""	"asIs"	"11FF079DB589499"	"both"	"DP"	"site-date"	"primarySampleBarcode"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"SAMPLE_TABLE"	"cfc_LMA_in.lmaSampleID"	""	0	NA	"basic"	"N"	""	""	"N"	""
12	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"lmaSampleCondition"	"Condition of a leaf mass per area sample"	"string"	NA	"nominal"	""	"LOV"	"OK"	"both"	"DP"	"site-date"	"lmaSampleCondition"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	"cfc.lmaSampleCondition"	"N"	""
13	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"scanDate"	"The date and time a sample is scanned"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-09T12:35"	"both"	"DP"	"site-date"	"scanDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
14	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"scannedBy"	"An identifier for the technician who scanned the sample(s)"	"string"	NA	"textDomain"	""	"asIs"	"personA@battelleecology.org"	"both"	"DP"	"site-date"	"scannedBy"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
15	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"freshMass"	"Total fresh mass of a sample"	"real"	"gram"	"ratio"	""	"*.###(round)"	"5.334"	"both"	"DP"	"site-date"	"freshMass"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"Y"	""	""	"N"	""
16	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"ovenStartDate"	"The date and time a sample was placed in the drying oven"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-09T15:35"	"both"	"DP"	"site-date"	"ovenStartDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
17	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"ovenEndDate"	"The date and time a sample was removed from the drying oven"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-12T15:49"	"both"	"DP"	"site-date"	"ovenEndDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
18	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"dryMass"	"Oven-dried mass of sample or subsample"	"real"	"gram"	"ratio"	""	"*.###(round)"	"2.763"	"both"	"DP"	"site-date"	"dryMass"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"Y"	""	""	"N"	""
19	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"weighedBy"	"An identifier for the technician who weighed the sample"	"string"	NA	"textDomain"	""	"asIs"	"personB@battelleecology.org"	"both"	"DP"	"site-date"	"weighedBy"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
20	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"scannedLeafNumber"	"Number of leaves or needles scanned"	"unsigned integer"	"number"	"ratio"	""	"integer"	"8"	"both"	"DP"	"site-date"	"scannedLeafNumber"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
21	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"leafArea"	"Area of all leaves or needles scanned"	"real"	"squareMillimeter"	"ratio"	""	"*.#(round)"	"19321.4"	"both"	"DP"	"site-date"	"leafArea"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"Y"	""	""	"N"	""
22	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"percentGreen"	"Visual estimate of percent scanned foliar material that was live and green"	"unsigned integer"	"percent"	"ratio"	""	"integer"	"95"	"both"	"DP"	"site-date"	"percentGreen"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
23	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"leafMassPerArea"	"Dry mass per unit area of leaf or needle foliage"	"real"	"gramsPerSquareMeter"	"ratio"	""	"*.#(round)"	"114.8"	"both"	"DP"	"site-date"	"leafMassPerArea"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"Y"	""	""	"N"	""
24	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"dryMassFraction"	"Dry mass divided by fresh mass of a sample"	"real"	NA	"ratio"	""	"*.###(round)"	"0.564"	"both"	"DP"	"site-date"	"dryMassFraction"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"Y"	""	""	"N"	""
25	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"measuredBy"	"An identifier for the technician who measured or collected the data"	"string"	NA	"textDomain"	""	"asIs"	"personC@battelleecology.org"	"both"	"DP"	"site-date"	"measuredBy"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
26	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"remarks"	"Technician notes; free text comments accompanying the record"	"string"	NA	"textDomain"	""	"asIs"	"oven-dried for 5 days"	"both"	"DP"	"site-date"	"remarks"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
27	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_LMA_pub"	"Leaf mass per area measurement of foliar samples"	"dataQF"	"Data quality flag"	"string"	NA	"nominal"	""	"asIs"	"legacyData"	"both"	"DP"	"site-date"	"dataQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_LMA_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
1	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_shapefile_pub"	"Metadata for shapefiles that contain crown polygons"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	NA	"textDomain"	""	"asIs"	"B0F07806AEB391"	"both"	"uid"	"site-date"	""	"NEON.DOM.SITE.DP0.10026.001"	"cfc_shapefile_in"	"GENERATED"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
2	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_shapefile_pub"	"Metadata for shapefiles that contain crown polygons"	"startDate"	"The start date-time or interval during which an event occurred"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20200705"	"both"	"resultStartDate"	"site-date"	"activityStartDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_shapefile_in"	"ACTIVITY_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
3	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_shapefile_pub"	"Metadata for shapefiles that contain crown polygons"	"endDate"	"The end date-time or interval during which an event occurred"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20200705"	"both"	"resultEndDate"	"site-date"	"activityEndDate"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_shapefile_in"	"ACTIVITY_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
4	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_shapefile_pub"	"Metadata for shapefiles that contain crown polygons"	"siteID"	"NEON site code"	"string"	NA	"nominal"	""	"asIs"	"GRSM"	"both"	"DP"	"site-date"	"namedLocationName"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_shapefile_in"	"ACTIVITY_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
5	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_shapefile_pub"	"Metadata for shapefiles that contain crown polygons"	"downloadFileName"	"The name of the user-downloaded file that is linked to the record"	"string"	NA	"textDomain"	""	"asIs"	"GRSM-2020-polygons.zip"	"both"	"DP"	"site-date"	"downloadFileName"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_shapefile_in"	"DP_TABLE"	""	""	0	NA	"basic"	"Y"	""	""	"N"	""
6	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_shapefile_pub"	"Metadata for shapefiles that contain crown polygons"	"downloadFileUrl"	"The URL of the file linked to the record"	"uri"	NA	"textDomain"	""	"asIs"	"https://s3.data.neonscience.org/neon-crown-shapefiles/GRSM-2020-polygons.zip"	"both"	"DP"	"site-date"	"downloadFileUrl"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_shapefile_in"	"DP_TABLE"	""	""	0	NA	"basic"	"Y"	""	""	"Y"	""
7	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_shapefile_pub"	"Metadata for shapefiles that contain crown polygons"	"shapefileAopYear"	"Year of Airborne Observation Platform (AOP) remote sensing data used to create shapefile of crown polygons"	"integer"	NA	"ratio"	""	"integer"	"2019"	"both"	"DP"	"site-date"	"shapefileAopYear"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_shapefile_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
8	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_shapefile_pub"	"Metadata for shapefiles that contain crown polygons"	"dataQF"	"Data quality flag"	"string"	NA	"textDomain"	""	"asIs"	""	"both"	"DP"	"site-date"	"dataQF"	"NEON.DOM.SITE.DP0.10026.001"	"cfc_shapefile_in"	"DP_TABLE"	""	""	0	NA	"basic"	"N"	""	""	"N"	""
1	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10031.001"	NA	"lig_externalSummary_pub"	"Long-term uncertainty values for lignin analysis in plant tissue"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	NA	"textDomain"	""	"asIs"	"B0F07806AEB227"	"publication"	"uid"	"lab-current"	""	"NEON.DOM.SITE.DP0.10031.001"	"ltr_ligninSummary_in"	"GENERATED"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
2	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10031.001"	NA	"lig_externalSummary_pub"	"Long-term uncertainty values for lignin analysis in plant tissue"	"startDate"	"The start date-time or interval during which an event occurred"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20170101"	"publication"	"resultStartDate"	"lab-current"	"activityStartDate"	"NEON.DOM.SITE.DP0.10031.001"	"ltr_ligninSummary_in"	"ACTIVITY_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
3	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10031.001"	NA	"lig_externalSummary_pub"	"Long-term uncertainty values for lignin analysis in plant tissue"	"endDate"	"The end date-time or interval during which an event occurred"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20170101"	"publication"	"resultEndDate"	"lab-current"	"activityEndDate"	"NEON.DOM.SITE.DP0.10031.001"	"ltr_ligninSummary_in"	"ACTIVITY_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
4	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10031.001"	NA	"lig_externalSummary_pub"	"Long-term uncertainty values for lignin analysis in plant tissue"	"analyte"	"Analyte or parameter measured"	"string"	NA	"nominal"	""	"LOV"	"lignin"	"publication"	"DP"	"lab-current"	"analyte"	"NEON.DOM.SITE.DP0.10031.001"	"ltr_ligninSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	"ltr.ligAnalyte"	"Y"	""
5	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10031.001"	NA	"lig_externalSummary_pub"	"Long-term uncertainty values for lignin analysis in plant tissue"	"analyteUnits"	"Associated units of measure for analyte"	"string"	NA	"nominal"	""	"LOV"	"percent"	"publication"	"DP"	"lab-current"	"analyteUnits"	"NEON.DOM.SITE.DP0.10031.001"	"ltr_ligninSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	"ltr.ligAnalyteUnits"	"N"	""
6	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10031.001"	NA	"lig_externalSummary_pub"	"Long-term uncertainty values for lignin analysis in plant tissue"	"sampleType"	"Type of sample"	"string"	NA	"nominal"	""	"asIs"	"peach leaves"	"publication"	"DP"	"lab-current"	"sampleType"	"NEON.DOM.SITE.DP0.10031.001"	"ltr_ligninSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
